Asset,ADOBE_NAS_,ADVANCEDMICRODEVICES,ALPHABET_A_,ALPHABET_C_,AMAZON_COM,AMER_ELEC_PWR_,AMGEN,ANALOGDEVICES,ANSYS,APPLE,APPLIEDMATS_,ASMLHLDG_ADR1_1,ASTRAZENECAADR2_1,ATLASSIAN_A_,AUTODESK,AUTOMATICDATAPROC_,AXONENTERPRISE,BAKERHUGHESA,BIOGEN,BOOKINGHOLDINGS,BROADCOM,CADENCEDESIGNSYS_,CDW,CHARTERCOMMS_CL_A,CINTAS,CISCOSYSTEMS,COCACOLAEUROPACIFICPARTNERS,COGNIZANTTECH_SLTN__A_,COMCASTA,COPART,COSTARGP_,COSTCOWHOLESALE,CROWDSTRIKEHOLDINGSA,CSX,DATADOGA,DEXCOM,DIAMONDBACKENERGY,ELECTRONICARTS,EXELON,FASTENAL,FORTINET,GILEADSCIENCES,HONEYWELLINTL_,IDEXXLABORATORIES,INTEL,INTUIT,INTUITIVESURGICAL,KEURIGDRPEPPER,KLA,KRAFTHEINZ,LAMRESEARCH,LINDE_NYS_,LULULEMONATHLETICA,MARRIOTTINTL__A_,MARVELLTECHNOLOGY,MERCADOLIBRE,METAPLATFORMSA,MICROCHIPTECH_,MICRONTECHNOLOGY,MICROSOFT,MICROSTRATEGY,MONDELEZINTERNATIONALCL_A,MONGODBA,MONSTERBEVERAGE,NETFLIX,NVIDIA,NXPSEMICONDUCTORS,OLDDOMINIONFGT_LINES,ONSEMICONDUCTOR,OREILLYAUTOMOTIVE,PACCAR,PALOALTONETWORKS,PAYCHEX,PAYPALHOLDINGS,PDDHOLDINGSADS1_4,PEPSICO,QUALCOMM,REGENERONPHARMS_,ROPERTECHNOLOGIES,ROSSSTORES,STARBUCKS,SYNOPSYS,TAKETWOINTACT_SFTW_,TESLA,TEXASINSTRUMENTS,TRADEDESKCL_A,T_MOBILEUS,VERISKANALYTICSCL_A,VERTEXPHARMS_,WARNERBROSDISCOVERYSERIESA,WORKDAYCLASSA,XCELENERGY,ZSCALER
ADOBE_NAS_,1.0,0.660199684702834,0.666370325830804,0.679016753554157,0.58288894772816,0.546556299969457,0.596909054602229,0.661034660698451,0.597020612921272,0.474529966511316,0.115175149195995,0.372995276429373,0.472412376632031,0.538875861592524,0.651875278666863,0.2741055344981,0.645567678283921,0.669475355467465,0.383857005729779,0.479661124601831,0.407193846530177,0.150302068090565,0.36249563862613,0.09750044469508,0.370119915014194,0.577944090722477,0.260160595282707,0.0544515360671443,0.467846839163281,0.401349366898398,0.491102774030465,0.495751137271384,0.210817148474146,0.482877058134559,0.362833259638804,0.612922591880396,0.555907039365282,0.389342985388158,0.326958365701799,0.722751900579648,0.56198716743971,0.329335823471797,0.301055230912251,0.363975687393144,0.413809011685341,0.725343407796994,0.409786787854775,0.578355810388058,0.633495697869165,0.575567340481628,0.202772319545451,0.20397652216794,0.512655250449677,0.335989547863751,0.409242557522172,0.219148025921054,0.588449512567287,0.35162998276846,0.549850297353817,0.448641022934814,0.253401779785968,0.571214079905104,0.291697419980969,0.499007936608486,0.344148892984109,0.425354533829839,0.540898021366711,0.315078694817867,0.468751848197695,0.260364385673377,0.420027913191876,0.51642312990489,0.392695377973665,0.202969515307814,0.661408518190922,0.29434941306739,0.110494061360896,0.48177247905343,0.0970017791424777,0.50471819372494,0.379075971618759,0.162246298340956,0.348343541001779,0.390265038974309,0.485079757119949,0.482129396848576,0.449578468236501,0.186439593436555,0.468048618448999,0.386410152921554,0.663174846016899,0.718637219082421,0.228642506101188
ADVANCEDMICRODEVICES,0.660199684702834,1.0,0.606457396637262,0.620168112311419,0.438305097015099,0.7074502579935,0.512481927136149,0.540097336927936,0.466656165171016,0.545419686247551,0.385350861357593,0.40844237614021,0.507388795447414,0.578845034201868,0.666429249403494,0.463955808836808,0.57638307062063,0.664522389576694,0.534216017984271,0.621716859651463,0.617143864291632,0.264976082813498,0.504785362135383,0.0900206336275673,0.476974673748797,0.438313541233543,0.317450024261868,0.138218656358032,0.542562169217422,0.332251218120979,0.58171283754231,0.426040258312454,0.281102628579497,0.556627472514496,0.292918841681444,0.484786579463317,0.494820738902649,0.358172314042337,0.456014800366142,0.475152621297722,0.582486692189742,0.305336648568372,0.400374628692108,0.488994173891434,0.459039401365463,0.528603588999924,0.535486273415311,0.597844106263775,0.552750560050653,0.623672663989821,0.197684949163866,0.405820071607687,0.474150235152308,0.482384296468791,0.487048445861778,0.186543068736612,0.592319913227257,0.245208009895923,0.550172653286729,0.597054022381356,0.201066851225864,0.530661874660197,0.463952702723226,0.565626746145149,0.32862553487905,0.43236846592788,0.632796950755321,0.408997857561637,0.395163122053211,0.318050124918488,0.453026530177538,0.511194216618627,0.44731072613906,0.27845696973377,0.647539333704792,0.298751349847333,0.217636396207769,0.365602517208169,0.23060225232749,0.588629401324981,0.391696963041418,0.389592130373104,0.350815756360849,0.457998812582979,0.540220078409625,0.506158985882583,0.378039376546711,0.192190246735332,0.551460970737599,0.410855114708706,0.543217505348837,0.546399678569543,0.235756794378774
ALPHABET_A_,0.666370325830804,0.606457396637262,1.0,0.671131794862079,0.53336388001934,0.467580442245335,0.53757816443315,0.558374163015394,0.635133779528137,0.552003215357382,0.184727158919604,0.355491502712619,0.401065731829253,0.48675055281051,0.573510750203447,0.157597261622446,0.749793230374949,0.56991323427486,0.422834690877011,0.603783012128169,0.599570135527804,0.0648244763316103,0.250988768924433,-0.0226987914077342,0.386230378743051,0.622257424746083,0.265668042689423,-0.0731587283988522,0.397476222549518,0.350636891089513,0.421967036118608,0.372181698867107,0.169310959584627,0.561715084072785,0.468154646864462,0.591122757234899,0.617645098089977,0.483223172795994,0.327120827176373,0.635867257725294,0.43191375891239,0.351699223975452,0.162693799445394,0.343219068616654,0.216856574009849,0.701396193934392,0.317548481079762,0.483395223080723,0.573814651654918,0.456900914745705,0.0328283837234349,0.229365685198051,0.674881397254311,0.263444699778201,0.342712728388696,0.282035027514801,0.488585905466006,0.277848188415712,0.463316150857072,0.332320955739166,0.0338912384544765,0.485385778430081,0.124106268508484,0.595225529169649,0.367222220548141,0.332303681954781,0.522106472304679,0.186955813442889,0.302340654761817,0.154645505332261,0.226679763812534,0.484888512746446,0.360106195028274,-0.0208229374065563,0.606695685313581,0.249654098331744,0.114400913743278,0.411548281415294,-0.0570605795329162,0.544729373512882,0.456728375211106,0.250266719060049,0.4093652036046,0.20316841684534,0.389027549461563,0.406165786751265,0.425075369132024,0.166875115373977,0.50654127886036,0.322093920547284,0.562341141832601,0.710473934719959,0.155848833141544
ALPHABET_C_,0.679016753554157,0.620168112311419,0.671131794862079,1.0,0.550437637637826,0.628932979419997,0.523848653019649,0.667571649547642,0.647474137559992,0.501358525842695,0.257685107171857,0.328730924331104,0.298350829525658,0.379243038397953,0.574382975323283,0.0442002031562847,0.624682340738689,0.572427622612009,0.313245842161206,0.541616104392036,0.471349929422878,0.0556577844699385,0.187918123442969,0.0830190052534776,0.25793463132379,0.543376472167116,0.191022222249981,-0.104989889180092,0.384702605227919,0.32065884279182,0.48508559901773,0.465728338443136,0.188585311451561,0.348771262207967,0.475853822234806,0.553612605783433,0.57200268661543,0.41560733479519,0.280844144384286,0.649284430961618,0.404615675371071,0.224059173541651,-0.0344153927207723,0.32332640771069,0.275738144266138,0.706278240492046,0.505091231122408,0.576956727226824,0.51629415383314,0.413511529753144,0.0608728571608506,0.197012648105909,0.651061419739792,0.183811684781237,0.336718033123428,0.0972775615067392,0.501809282855201,0.30070862590836,0.363549250677646,0.468695603547787,0.0206539072153987,0.488351859626449,0.156498980779553,0.504593946710444,0.289178963273669,0.205186230800655,0.495988028416492,0.0545857187723178,0.295811812380168,0.18048777453036,0.227646412392969,0.452036336291796,0.328496362664433,0.0253770274037943,0.595226294615901,0.480004970484128,0.125798201780044,0.508573942817851,-0.0680341357044959,0.423339532099188,0.458379841405064,0.261630152397875,0.418028297465749,0.370815351842805,0.430922627179156,0.524672118204669,0.409307171663999,0.0106039868372537,0.422653889337761,0.450812746078764,0.677111350642428,0.607067610206901,0.017740260631934
AMAZON_COM,0.58288894772816,0.438305097015099,0.53336388001934,0.550437637637826,1.0,0.369969702795542,0.456991538927389,0.565874773115816,0.3358622063038,0.383984990940562,0.130031378216523,0.309250889094477,0.550888667988275,0.316050287575348,0.484673497896795,0.252348144842297,0.498154399197365,0.41733791194011,0.467792727187815,0.427682447358362,0.438519531275673,0.0474965433691001,0.300868921240983,0.255340135790756,0.444045889604726,0.483537827858828,0.263479040161722,0.0248736411723155,0.248499130019806,0.323441173974558,0.41381050418713,0.279836977481166,0.281316070207957,0.420211843869142,0.273810856402485,0.487109363687182,0.434312014848593,0.281845242397415,0.480603060145481,0.435449829986637,0.446720453631994,0.214028824502854,0.257211382294581,0.390177056882449,0.293787576710627,0.53084679000222,0.533048993703965,0.441102899443277,0.50387624382688,0.447944728406167,0.290572981651962,0.204058341597443,0.475081080885671,0.321157357787284,0.395060686206962,0.128995296361446,0.485340811307984,0.205974936189488,0.510273479151153,0.40142494631166,0.240081739957057,0.535564981862585,0.191259299512224,0.50536582237833,0.353166726953168,0.397287262794558,0.439493575465854,0.370153596701499,0.149955418359874,0.192924333834752,0.179964609155488,0.360384643152308,0.129022241942727,0.196135974787801,0.581636140658325,0.281082720401734,0.195786150624149,0.260163597443112,0.102279551909945,0.482875402140467,0.387860054660293,0.130738142447661,0.195282681008225,0.292681054478595,0.37465081737358,0.408656572747297,0.438200669587988,0.082419540320222,0.375709362378271,0.317925370732702,0.568345824492899,0.484789243410171,0.220229130195094
AMER_ELEC_PWR_,0.546556299969457,0.7074502579935,0.467580442245335,0.628932979419997,0.369969702795542,1.0,0.497372003944221,0.496290865346204,0.441534099814912,0.482709493707804,0.268434292909169,0.325958547627586,0.409136232738914,0.360185895497171,0.566763492333892,0.245484282572661,0.481027319443539,0.462310997226536,0.483343717948101,0.45992884275914,0.480604291027555,0.0029534024272877,0.443340169489834,0.167233462059663,0.273910510111067,0.47396952431649,0.296133805225891,-0.108216364703665,0.535265077761269,0.228892273654246,0.451122957442496,0.487605701943575,0.110459758019945,0.422542859919719,0.461419757687143,0.439353502608929,0.404972190076489,0.252550520049794,0.266005385207376,0.52315414247354,0.500347954129753,0.30079479950423,0.10634004313234,0.515303123657217,0.285613690227998,0.529614338825259,0.527842856568488,0.594717649637542,0.578761764806065,0.445105139230581,0.0565602633281018,0.242019965480136,0.570257542796081,0.304270855785142,0.459766386112428,0.0110927956402559,0.566952980735582,0.413390917739466,0.579176019187743,0.54587003092992,0.122925136497932,0.487155432533089,0.37862716877092,0.512042510218342,0.400314144672147,0.385556944066344,0.488788131888846,0.188360699957901,0.38319956240197,0.32671668630002,0.268803288006242,0.48352955368475,0.430690917745791,0.0450640215557251,0.646158644298128,0.475925447741675,0.269091812844257,0.507577840690051,0.0871745298949165,0.485588893416361,0.516229788125544,0.437952654145126,0.491438644553309,0.478058036090371,0.526367118571802,0.53300159961947,0.350523181346067,0.0575322732889879,0.589413685530555,0.511123790847944,0.497146365443396,0.450966393882439,0.0339352210573873
AMGEN,0.596909054602229,0.512481927136149,0.53757816443315,0.523848653019649,0.456991538927389,0.497372003944221,1.0,0.555307568449335,0.478313205034713,0.319750456672544,0.0464396407738047,0.364308468231853,0.315236046320616,0.423075327208561,0.513687172925395,0.0750104158492029,0.50045959770713,0.417397268341345,0.461441671243882,0.411456142926732,0.464782660151244,0.0436305185778852,0.416156440866977,0.0241550550209619,0.239525361750217,0.597265940691055,0.240538018641857,-0.0074249971321291,0.375155633516175,0.298280918868571,0.304577978335827,0.403372596548421,0.0429397993216801,0.48571919327865,0.229567169346729,0.604457745203167,0.556418427849043,0.38106061406587,0.230218204914649,0.529969908252029,0.33809578181374,0.331735157326011,0.105373836577153,0.500014009510332,0.188916258814969,0.488667758054636,0.339920819863446,0.583516184412446,0.403619781883025,0.322843759864543,0.055796813207,0.0232170272495041,0.688891155026985,0.254061987789303,0.354499045959489,0.0336445253475217,0.537191692686774,0.260394513160017,0.431718269951007,0.376396811482321,0.0835578714066286,0.297233636772343,0.162498084096204,0.532679083902996,0.222066520787388,0.472165344522893,0.315663648816065,0.368459658573787,0.294920751609835,0.252401776738457,0.221419311969168,0.410926359654942,0.263280886680651,-0.0643475099776799,0.564391772272435,0.18884391328742,0.215144584320911,0.426382742060646,0.0283405714101682,0.465150584212775,0.143888079573627,0.179600140598781,0.272101671645239,0.215737942552242,0.426729823963162,0.379387319820163,0.459284892295461,0.0478496649093533,0.50451797521024,0.326231083580495,0.543745521362813,0.601925481825512,0.0883860087531345
ANALOGDEVICES,0.661034660698451,0.540097336927936,0.558374163015394,0.667571649547642,0.565874773115816,0.496290865346204,0.555307568449335,1.0,0.420115150447004,0.416723852759992,0.142583194362305,0.397449775548562,0.357774367638135,0.424075703140476,0.593106055266529,0.245497314475976,0.488433169734226,0.472367932044478,0.445683915203281,0.465895365157263,0.462893588232815,0.0827547762696342,0.3966039195258,0.206559183649096,0.415700551693132,0.555366343307532,0.40080152049271,-0.0720754725194769,0.358386444245925,0.310257916278217,0.442103232122919,0.377455210933395,0.0900100581129188,0.428973816626504,0.307248633597745,0.528780418010747,0.507006854485653,0.468398419307233,0.368127447810057,0.530338373733763,0.48949818834966,0.249370417537111,0.136351396705137,0.504297704147264,0.277920145763303,0.606569253167111,0.500208404991397,0.559755357865933,0.571402380185624,0.470517635555179,0.195330936272873,0.32411956286892,0.512274119583957,0.277398776609397,0.464605101747778,0.0505217108738835,0.511195795589659,0.266244426249098,0.471327245511666,0.452007716510937,0.2583369079525,0.435840391688734,0.394302835804777,0.520976192416868,0.280486137368579,0.312664030395368,0.450064454143435,0.327940384365803,0.294980183856042,0.335381991877743,0.138368054941072,0.480750432926358,0.19798881094993,0.196797301805502,0.602900893607236,0.473703064340794,0.373110957797079,0.412922057914972,0.183833688299604,0.493504911853872,0.398402218915903,0.295787298880134,0.284064935791132,0.294057477185067,0.449559082819032,0.488586131356842,0.512889132327848,0.125899594055183,0.499939987084606,0.284087419769546,0.998032437018473,0.568815942214853,0.271071743792233
ANSYS,0.597020612921272,0.466656165171016,0.635133779528137,0.647474137559992,0.3358622063038,0.441534099814912,0.478313205034713,0.420115150447004,1.0,0.50542604186711,0.209286482087122,0.392867923973493,0.28561571510397,0.558831552496762,0.488524815252351,0.0438768745107171,0.517341748571174,0.536327851158828,0.414555234862678,0.344600878022482,0.413970663949031,0.127507013577006,0.29663480248455,0.0503376481018047,0.255511271691181,0.483591257155717,0.251501447999579,0.160635433837623,0.376682001060612,0.294020325310001,0.507234587100394,0.429935064618494,0.154860046599065,0.387586575102857,0.445260750258542,0.532060058092207,0.482649857118827,0.320400319360744,0.394649387453937,0.583709998721446,0.418387279882456,0.374425307606005,0.0676630520693425,0.331346167070583,0.326177427467794,0.596133788717872,0.451060527420758,0.56652754150408,0.523824318349515,0.364953004007902,0.0172645213190811,0.25392686974658,0.533292448598288,0.164439910487424,0.316836619793238,0.132858925882474,0.549957106957013,0.431940468119755,0.358489098064109,0.388064941310557,-0.0094943313346326,0.436110675257741,0.152459447998297,0.420025748410033,0.341369683613858,0.345497156927739,0.447622746532563,0.160676487474396,0.474168837510623,0.144176068546554,0.294318143563378,0.542174999194351,0.546167147611078,-0.0126911053125064,0.491662018586737,0.428399791373477,0.119523392775486,0.416726901186882,-0.064755898870921,0.3857599385595,0.35225638651931,0.287107536239803,0.427791345901569,0.390164380976665,0.309767158519115,0.306195478353611,0.424035272504984,0.118027233084624,0.351550963282177,0.391627049036978,0.419384202229508,0.64058198371073,0.0007031613620403
APPLE,0.474529966511316,0.545419686247551,0.552003215357382,0.501358525842695,0.383984990940562,0.482709493707804,0.319750456672544,0.416723852759992,0.50542604186711,1.0,0.389286341713957,0.403837926793718,0.356584018797775,0.60007356344629,0.462102300311128,0.347307365024516,0.510086607540286,0.456898311319396,0.354988037547267,0.568548045043584,0.465052189908414,0.142864102438635,0.373821417937929,-0.102510607573074,0.253458926799033,0.401747771821083,0.451072604992766,0.0147100840721124,0.432971378124287,0.209997818015911,0.449268002165204,0.372709723227171,0.343337622072617,0.403987611811638,0.372696625545446,0.429229862624454,0.453431439866929,0.302269854189569,0.478650686012771,0.400843151193171,0.462698325167707,0.382760210578585,0.328836439792804,0.385235495385033,0.305775110945188,0.459467235809649,0.287560324134614,0.416400347295222,0.523682723782912,0.567611936407241,0.317722229914638,0.294238274357747,0.46671213483332,0.234649663067923,0.49788889192075,0.170883434630375,0.396059044387593,0.250000013965945,0.564774706216686,0.56153473820117,0.19095009018402,0.46411848581216,0.337627337027702,0.487361548208386,0.29281468753518,0.413276457504758,0.725299870040981,0.234947358279965,0.435638928921803,-0.0055441991576688,0.0785363258174462,0.555235624074474,0.398707872613148,0.249775906506589,0.547905707053036,0.442954977775872,0.0310810002569973,0.348645454958771,0.119641829596343,0.384598960102367,0.449640461746524,0.177608723776156,0.341235856291127,0.372733527367049,0.394348268439681,0.338723165207393,0.39772986821622,0.0682373784834896,0.391153378885452,0.396214940051257,0.414743849807313,0.518781278391386,0.224487236856434
