Asset,ADOBE_NAS_,ADVANCEDMICRODEVICES,ALPHABET_A_,ALPHABET_C_,AMAZON_COM,AMER_ELEC_PWR_,AMGEN,ANALOGDEVICES,ANSYS,APPLE,APPLIEDMATS_,ASMLHLDG_ADR1_1,ASTRAZENECAADR2_1,ATLASSIAN_A_,AUTODESK,AUTOMATICDATAPROC_,AXONENTERPRISE,BAKERHUGHESA,BIOGEN,BOOKINGHOLDINGS,BROADCOM,CADENCEDESIGNSYS_,CDW,CHARTERCOMMS_CL_A,CINTAS,CISCOSYSTEMS,COCACOLAEUROPACIFICPARTNERS,COGNIZANTTECH_SLTN__A_,COMCASTA,COPART,COSTARGP_,COSTCOWHOLESALE,CROWDSTRIKEHOLDINGSA,CSX,DATADOGA,DEXCOM,DIAMONDBACKENERGY,ELECTRONICARTS,EXELON,FASTENAL,FORTINET,GILEADSCIENCES,HONEYWELLINTL_,IDEXXLABORATORIES,INTEL,INTUIT,INTUITIVESURGICAL,KEURIGDRPEPPER,KLA,KRAFTHEINZ,LAMRESEARCH,LINDE_NYS_,LULULEMONATHLETICA,MARRIOTTINTL__A_,MARVELLTECHNOLOGY,MERCADOLIBRE,METAPLATFORMSA,MICROCHIPTECH_,MICRONTECHNOLOGY,MICROSOFT,MICROSTRATEGY,MONDELEZINTERNATIONALCL_A,MONGODBA,MONSTERBEVERAGE,NETFLIX,NVIDIA,NXPSEMICONDUCTORS,OLDDOMINIONFGT_LINES,ONSEMICONDUCTOR,OREILLYAUTOMOTIVE,PACCAR,PALOALTONETWORKS,PAYCHEX,PAYPALHOLDINGS,PDDHOLDINGSADS1_4,PEPSICO,QUALCOMM,REGENERONPHARMS_,ROPERTECHNOLOGIES,ROSSSTORES,STARBUCKS,SYNOPSYS,TAKETWOINTACT_SFTW_,TESLA,TEXASINSTRUMENTS,TRADEDESKCL_A,T_MOBILEUS,VERISKANALYTICSCL_A,VERTEXPHARMS_,WARNERBROSDISCOVERYSERIESA,WORKDAYCLASSA,XCELENERGY,ZSCALER
ADOBE_NAS_,0.0011658672039853,0.000878242419023815,0.00161339441292703,0.00109826655198113,0.00121821139385736,0.00163775075743572,0.00106352650153394,0.000919978200046977,0.0011300289785732,0.000515373260018388,0.0003374442683639,0.0004573033458132,0.0004931485795531,0.0009887340998712,0.0010079878677556,0.000276173491581199,0.0013503660407614,0.0011201772832676,0.000637369534815106,0.000965779316518589,0.0006579675661609,0.000138511698178767,0.000464451428605835,0.000705768911593499,0.000390692457067821,0.00114137601145861,0.0005082893980534,"7,99E+07",0.00110497472615288,0.000922233855820858,0.00126998687457163,0.00146851383820064,0.0003534103679451,0.000843769014095707,0.0015108905303397,0.00105618413687315,0.00117267657508552,0.000940439948420411,0.000703804745375,0.00120084261370453,0.000726847249281876,0.00102846151272567,0.000287254626627513,0.0008218655563119,0.000324701278802954,0.00119613307150292,0.000966759434141346,0.00101548673991629,0.000783835993639976,0.0005504527181463,0.000208353647146918,0.0004952107625292,0.0013615001916025,0.0004543068453716,0.0005296094254952,0.000274218911462437,0.00113471283369854,0.000944629531479,0.000561752858983778,0.000652382906218315,0.0003760564465227,0.000454368947573442,0.000288314160572451,0.000997142773768,0.0004322712399223,0.000717377682872614,0.0005842796915873,0.000404275296076,0.00101255767743316,0.000790218155870111,0.0004253615413539,0.0009256157762795,0.000594265862936619,0.000272700410031788,0.00103078765275,0.00113393096686518,0.0003452804774986,0.00134870531092704,0.00012743053914852,0.00109778608792549,0.000744529947560475,0.000487181715577228,0.00148001736086925,0.0008075401602273,0.00105524110257624,0.00175480973606502,0.000791369015652333,0.000533999373442721,0.00122945810670913,0.00159410143675815,0.000909380049616196,0.00118832504676985,0.000264100259667292
ADVANCEDMICRODEVICES,0.000878242419023815,0.00162836322128754,0.00154075046063143,0.00107454019442163,0.00122284234188485,0.00194041585188831,0.00104986393838899,0.000927161646602055,0.00119771504410607,0.000643211982912079,0.000415363035725,0.0005113159822455,0.0005289175223321,0.0009829573432675,0.0010875548602378,0.00035590717865469,0.00141050542445264,0.0011074565819346,0.000727481796302432,0.00127671476552143,0.0007396861943061,0.000211363051322276,0.000557430898948195,0.000882382208620759,0.000466125154201447,0.00108951157620199,0.0005765166111619,"4,70E+09",0.00109011140531144,0.000862587223638624,0.00134166133982631,0.001379342420835,0.0005095213818309,0.000910497636111188,0.0013077279336345,0.00111135650086695,0.00115689075056682,0.000876568439756431,0.0007606006141301,0.00103880229230129,0.000758646539202788,0.00101341778871602,0.000343560216522425,0.0008978692289766,0.000446988574415051,0.00111116119626067,0.00112374332526688,0.00106386000910156,0.0008410608197571,0.0006223713531659,0.000296519177494371,0.0006309342384261,0.00143726064795948,0.000448917660139,0.0006281014826371,0.000300711479394481,0.00110512749081036,0.0010077506690259,0.000547859569566343,0.000757792991451549,0.0004226335834814,0.000576763763303467,0.000333580875155728,0.00112452535697882,0.0005075153735228,0.000721632551529135,0.0006168373812251,0.0003991801505138,0.000765068551584036,0.000837238572451755,0.0005086176206302,0.0010082232268624,0.000763748683894045,0.000378994405571539,0.0010126795437115,0.00115467280015066,0.0004502386288356,0.00142200445314158,0.000257037694654385,0.00118723389052669,0.00075992900439582,0.00098949595572096,0.00155205747597994,0.0008901754218365,0.00110131594437735,0.00191739950106726,0.000801819034415438,0.000490746123522927,0.00149080753132585,0.00156549948638602,0.000919214672821197,0.00111681674665399,0.000356874303567985
ALPHABET_A_,0.00161339441292703,0.00154075046063143,0.00518077804704591,0.00188622232989788,0.00213736650415764,0.00337378728447518,0.00281652021581971,0.0015271584987944,0.00230891590327894,0.000996765297549035,0.0007265836072012,0.0009111827248536,0.0010659829343074,0.0020377270088156,0.0018288163979203,0.000125097662858118,0.00357751520679625,0.0020934765150861,0.00157825959111378,0.00225478324022331,0.0014656388767835,"9,75E+09",0.000991625781386727,0.00167544662202973,0.000765504832894065,0.00300494174084383,0.0008184787564176,-0.000266575911205235,0.00247388287888825,0.0021991469496409,0.002303889422275,0.00313250970505397,0.000586198001143,0.00191737254667639,0.0038122557373306,0.00273300655330022,0.00298760891890728,0.00275007419003401,0.0013675916377231,0.00245051908472455,0.00139377778723753,0.0019796281200903,0.000190353813128282,0.0018771126416816,0.000546747481232631,0.00257008647071621,0.00185617672245331,0.00203992047981563,0.00164370604111868,0.0008305891041011,"-2,06E+09",0.0008823804839035,0.00372963731818371,0.0006602683120476,0.0008818483848002,0.00042203827566816,0.0018465673379754,0.0022024274208884,0.00107193150204028,0.00106126166111384,0.0004976063660373,0.000891896104640753,0.000415721369916922,0.00257864128404542,0.00091968134935,0.00167922207519275,0.0009683683647699,0.0006662434649544,0.00196877777239366,0.00194859730418291,0.0008377498183954,0.00176742995344,0.00121438625335641,"7,29E+09",0.0020812253209095,0.00215226147051939,0.0011183429552724,0.00241899257115493,-0.00013325747528052,0.00258150135585669,0.00154525257623009,0.00103272071419893,0.00287860219640963,0.0012352492543666,0.0020062022015344,0.00344178710533847,0.00166337719048688,0.000663331485979797,0.00330289373019475,0.00276133552165663,0.00150277746484939,0.00288656511650121,0.000365569439394814
ALPHABET_C_,0.00109826655198113,0.00107454019442163,0.00188622232989788,0.00228146415132943,0.00140156588219106,0.002191401801408,0.00108378740709503,0.00120642539920105,0.00154326054450557,0.000775204869972798,0.0004955074900462,0.0005659019648272,0.0005124110338875,0.0011201089134678,0.0013320335596982,0.000250985329568943,0.00180072729508062,0.001434017404658,0.00101343996499077,0.00113008238402674,0.0008089192469854,0.000231089736967408,0.000392259380037087,0.00105966543113605,0.000510189222318471,0.00135687182933864,0.0005083714375406,"8,80E+09",0.00131626022915068,0.0011776837303592,0.00181737941205162,0.00198657381729696,0.0004769271451274,0.000877488148893032,0.0021361204930578,0.00122926538726319,0.00138606016430875,0.00115309950712651,0.0007766126290404,0.0013580991142082,0.00075323516076355,0.00117779019970759,0.000191746223887182,0.0009588691619968,0.000420956653661457,0.0013933935827453,0.00137457079913658,0.00135553149466759,0.00096268881059145,0.0005711304502302,0.000197991014510414,0.0006759744381913,0.0018680736747226,0.0004725856154869,0.0005743221229436,0.000397577018699694,0.00131389240960938,0.0012209685846981,0.000618386476383991,0.000896521440289157,0.0002798592277569,0.000625263003941261,0.000249000760126697,0.00101009237658702,0.0004909016639367,0.000737123660383248,0.0007035480282645,0.0003565578722052,0.000974325227056054,0.000702249747511987,0.0005401514635063,0.0011120712769529,0.000870362546643577,0.000273007226068727,0.001244089649157,0.00188392221274526,0.0005034207512888,0.00190308684549033,"5,95E+08",0.00114400412193358,0.00104358016918837,0.00114221171028033,0.00211244642363476,0.0010983732163552,0.00130244174995028,0.00231368035335298,0.000798899241728541,0.00058008593341593,0.0012347140231693,0.00235898756169312,0.00119666027902734,0.00136483579843447,0.000167443856772588
AMAZON_COM,0.00121821139385736,0.00122284234188485,0.00213736650415764,0.00140156588219106,0.00367292077168722,0.00176735292608012,0.00153610895668566,0.00143178998016623,0.00177120330309427,0.000704054433335957,0.0002402532777487,0.0005820086541114,0.0007447390500659,0.0013588707043591,0.0013216784519329,0.000245911038233504,0.00191285728588844,0.0015292065598448,0.000886066756586094,0.00143830278211796,0.0009476861723144,0.000107622030846737,0.000776819388019801,0.00152616282155646,0.000600962085154324,0.00167742665979365,0.0005828692366885,"-7,17E+07",0.00109439771743903,0.00120096667691862,0.00173543902034449,0.0016673389241076,0.0004814757354623,0.00118579179102075,0.001646748688198,0.00152334669562716,0.00167978458311293,0.00135103639324946,0.00114002007684,0.00147579930829031,0.000990721914105454,0.00139102967200403,0.000286954631431073,0.0012127854635821,0.000393192520612646,0.00155848957710589,0.00164722493320378,0.00144872256000387,0.0012030310335808,0.0006747754984602,0.00020888679695801,0.0005861268572712,0.00191054843682555,0.0004828819557977,0.0006653108858705,0.000279884602535794,0.00140998624949035,0.001246999617739,0.000802703586539059,0.000824426895487779,0.0004016463008026,0.000610090483509752,0.000343509697090248,0.00154356512842579,0.0006257958364221,0.000991869370399407,0.0006631798621235,0.0004448956801443,0.000933495172313101,0.00129618613385608,0.0005392549678593,0.0011805738870415,0.000851884784011526,0.000251236544108788,0.0014374598753522,0.00132891856312651,0.0007350045199523,0.00133053153173784,0.000195033479559208,0.00157617137982565,0.00133107276772338,0.000910545756904328,0.00150176953734501,0.0009334809374441,0.00149415565051862,0.00244749241257242,0.00112517920691163,0.00059095599730785,0.00205393373026343,0.001834845390691,0.00140756362455126,0.00176785704337401,0.000333087081744912
AMER_ELEC_PWR_,0.00163775075743572,0.00194041585188831,0.00337378728447518,0.002191401801408,0.00176735292608012,0.00941949465914558,0.00267476162067224,0.00184952062496189,0.00216631603537098,0.000856905981231768,0.0007483621917975,0.0009108593465557,0.0009807840240695,0.001962580354698,0.0021264652352694,0.000283286451685536,0.00291658367651126,0.0019878567410779,0.00162474780594507,0.00198679683918829,0.001532651077728,"5,59E+09",0.00138911857458719,0.00211502687547602,0.000837891099545879,0.00272338067122049,0.0013334238737402,-0.000225766575196116,0.00282604722495594,0.0020895653434464,0.00230803473753089,0.00350555933134837,0.0006125609271256,0.00206043197154224,0.0042601466325558,0.00229432156515023,0.0028987108688388,0.00250307573960175,0.001454298775084,0.00237490694556437,0.00171929014282248,0.00223126944143469,0.00053522108819623,0.0028048881467063,0.000628743007872007,0.00223625244093559,0.00233144552512557,0.00231071203114943,0.00163187912466778,0.0008974273341445,"-4,03E+09",0.0015417224007753,0.0034359313202818,0.0006186270259187,0.0011892587291234,"6,71E+09",0.00249910379927387,0.002606750771558,0.00142977369932465,0.00166119974347766,0.0007040858110738,0.000789545891093524,0.00105901441814661,0.00312125673697118,0.0010479142893517,0.00234799196217126,0.0009822095196314,0.0006942017074338,0.00208375082695492,0.00319187226665468,0.0007757285844359,0.0013865511657668,0.00122374695008327,0.000281125024575272,0.001805569935389,0.00275691613501257,0.0019016907700266,0.00269945497560978,"5,94E+09",0.00305392835772793,0.00180388647328384,0.00241401102685886,0.00332535551319301,0.0015570162258081,0.00311981147323623,0.0043648865743323,0.00159329074166228,0.00078980117865155,0.00483100241218264,0.00356547418499495,0.00182287555022577,0.00260116754113048,0.000437020809203049
AMGEN,0.00106352650153394,0.00104986393838899,0.00281652021581971,0.00108378740709503,0.00153610895668566,0.00267476162067224,0.00355054643890644,0.00110705675161264,0.00136759671485354,0.000593933041292762,0.0004664696413676,0.0008277335825999,0.0008096310211732,0.0014664766775135,0.0013164249586336,0.000148752134840911,0.00225510328463508,0.001298791341171,0.0011995371243432,0.00190410755536174,0.0011841376095199,0.000114699752894238,0.000986644146729238,0.00125245366695557,0.000469414476459006,0.00255636283948542,0.0007588626566749,-0.00031088978873126,0.00165586907690178,0.00182475589399621,0.00137142515340767,0.00231562491462797,0.000411943078227,0.00160995634170133,0.0016325601312413,0.00221753938925222,0.00260613246836316,0.00248948113587565,0.001105912861223,0.00191635728954801,0.00120983633430412,0.00140567006139467,0.000255116618148383,0.0019493818126859,0.000617843054157127,0.00187578059079196,0.00123806818276818,0.00163312105413446,0.00119001353544751,0.0007131984420696,"3,46E+09",0.0006558058002866,0.00302969921320876,0.0003804530888108,0.0007540774279706,"3,41E+09",0.00158267525543291,0.0016111659982256,0.000982758840075759,0.000931716946411364,0.0006397761869703,0.000450322672440659,0.000643598522909241,0.00231484715536153,0.0007176834895234,0.00171109416879213,0.0006796652756717,0.0007827751085956,0.00127252189469022,0.00222083570661964,0.0006662320880638,0.0012685707070395,0.000761353521229746,0.000153303875981418,0.0013657518962459,0.00151742973557807,0.0014172770433327,0.00152753948711901,"6,82E+08",0.00227007113041002,0.00121626002975902,0.000862877068882089,0.00167031841562563,0.0007435891779643,0.00173104321355215,0.00279093154078306,0.00141377701351505,0.000202975359515423,0.00321268976146085,0.00183205823296269,0.00108916321844883,0.00245385122550804,0.000204804817358013
ANALOGDEVICES,0.000919978200046977,0.000927161646602055,0.0015271584987944,0.00120642539920105,0.00143178998016623,0.00184952062496189,0.00110705675161264,0.00166459435059744,0.00106996193712194,0.000520424410345661,0.0003663291916552,0.0005479323064902,0.0005816287468957,0.0009754237843322,0.001093060940817,0.000275141302071984,0.0013566262654455,0.0011161498556338,0.000916756893261096,0.00107288484572005,0.0007742366321358,0.000202341430772497,0.000617494280463209,0.00120699541957727,0.000542307172087015,0.00127643689883654,0.0005860549733667,"6,24E+09",0.00102740979827675,0.000955425260719006,0.00137515959391686,0.00144926351477017,0.0004088200190024,0.000980116570487402,0.0014985871689643,0.00119952617764141,0.00127227768601647,0.0011506411305917,0.0007162972528187,0.00116013236306801,0.000798896961399594,0.000940164024651932,0.000266101670824006,0.0010378418357687,0.000377489470676334,0.0011858352883647,0.00106356458722015,0.00120699069664346,0.000938452042671629,0.0005743246733571,0.000212822092597623,0.0006586151947438,0.00143409614928539,0.0004931299504217,0.0006322243261928,0.000215270002145219,0.00118143694378959,0.0008752983637684,0.000721073383671084,0.000787537440527266,0.0004231061423312,0.000545922062283016,0.000285805815601812,0.00121750326994177,0.000430108573331,0.000798863907568384,0.0006366799072234,0.0004819199828793,0.000818357835020009,0.00118437659233313,0.0004442290280973,0.0009174469312615,0.000652757785550621,0.000295386099885703,0.001083902257091,0.00112702363846449,0.000785755197368,0.00136425799304861,0.000189906924831518,0.00130560780570011,0.000944322577275879,0.000972656682318148,0.00146004229820726,0.0008748763132052,0.00119914188755833,0.00186046826710993,0.000916532806379912,0.000718617258356182,0.0015238183984775,0.00155984790044747,0.00165242800295426,0.0011752755027644,0.000269984613014842
ANSYS,0.0011300289785732,0.00119771504410607,0.00230891590327894,0.00154326054450557,0.00177120330309427,0.00216631603537098,0.00136759671485354,0.00106996193712194,0.00410941626324297,0.000640768096654858,0.0004439880658205,0.0005316563075957,0.0005295926462989,0.0014250784393701,0.0013918649358137,0.00019230289378807,0.00201885081761601,0.0014312864054607,0.000913621940814936,0.00141904575775391,0.0007025788371048,0.000180587498509768,0.000545729712446006,0.00161688371012291,0.000543448720968021,0.0015460949243519,0.0005995872272085,"3,09E+09",0.00136839239406344,0.00117067819547396,0.00197039010492427,0.00205331797672941,0.0007102900465111,0.000942834344889168,0.0031422342248152,0.00135896004600854,0.00149936267594577,0.00122082272098859,0.0009319224178709,0.00160980302415779,0.000707947187032787,0.00153202975637179,0.00023756168369186,0.0008336922005159,0.000296964966512953,0.00165117284223235,0.00147779638010477,0.00153237850675061,0.000994676393019335,0.0005512351501672,0.00015262260309228,0.0009632900438159,0.00210393901889202,0.000314858598281,0.0006770575886795,0.000406197333704125,0.00166648492110907,0.0014403141010629,0.000572387198131355,0.00095596408224946,0.0002793750879385,0.000600964875499648,0.000304767106577537,0.00118420387703763,0.0004232578251749,0.000828793364817656,0.0006554620952957,0.0003160785545851,0.00145140367870623,0.000773465037362739,0.000802828205313,0.0012380409039612,0.00128732688425769,0.000238653061252983,0.0013823413257316,0.00193023563547163,0.0003780598794114,0.00179740069109011,"-1,61E+09",0.00122426027751526,0.000812822640018909,0.00115340479274639,0.00221599218013584,0.0010264791206463,0.00151116748618616,0.00258781471483573,0.00090928614188187,0.000608899692713074,0.00158482737487477,0.00229870665161544,0.00105003534123448,0.00185494054535275,0.000409646651003997
APPLE,0.000515373260018388,0.000643211982912079,0.000996765297549035,0.000775204869972798,0.000704054433335957,0.000856905981231768,0.000593933041292762,0.000520424410345661,0.000640768096654858,0.000972488432338457,0.0003021672233819,0.0003852127098354,0.0003561511264103,0.0007258489527771,0.0007210430117636,0.000268015514166984,0.000911618742171708,0.0007110717339722,0.000397496569067109,0.000754487778775681,0.0004949746130421,0.000252679049539269,0.000326834088747826,0.000156556982888476,0.000285306050024489,0.000695183454084767,0.0003680905041366,0.000149592354648267,0.000635178181291429,0.000539070279142953,0.00077569383748208,0.000783008507341603,0.0003156238991189,0.000470740053001113,0.0009264604368199,0.000742006888057638,0.000700618662979915,0.000524738182255505,0.0004814168826095,0.000723316570329965,0.000492481292514754,0.000590294224353727,0.000246497889989786,0.0003968973976208,0.000319830765424655,0.000741466682165664,0.000482728887216546,0.000668793925563005,0.000591933064745232,0.0004478144468711,0.000311186256619151,0.0003402674259548,0.000941691196603977,0.0003069137273707,0.0004628937329879,0.000199231958379855,0.00055612341035132,0.0005491928053359,0.000363248878225582,0.000551091169774725,0.0002722109599051,0.00041837251061149,0.000117488160204256,0.0005299347956555,0.0002789369667127,0.000357118703112466,0.0005233935015574,0.0002470773532462,0.000551919489456808,"9,87E+09",0.0002628334719084,0.0006879428623345,0.000353194274273967,0.000255264642666686,0.0007331255188572,0.000869375288243047,0.0001024062225082,0.00080875338746134,0.000176320933239072,0.000577523770817599,0.000608117542116207,0.000303956636736076,0.000972046861783531,0.0005342606541093,0.000601002566258293,0.000783550090165294,0.000506783580563739,0.00034669546489358,0.000465479762979001,0.000872779509830441,0.000514274848443168,0.000638189042962091,0.00016271795000907
